bin,count,true,raw,delta_raw,camembert_mlp,delta_camembert_mlp,camembert_mlp_without_ner_score,delta_camembert_mlp_without_ner_score,ner_logit_only,delta_ner_logit_only,ner_p_only,delta_ner_p_only,ner_p_logit_only,delta_ner_p_logit_only
0.0-0.1,17309,0.007683863885839737,0.002918582441676321,-0.004765281444163416,0.008744552423502274,0.0010606885376625375,0.00906297602561056,0.0013791121397708226,0.011015656051808563,0.0033317921659688264,0.01022180972551466,0.002537945839674924,0.011477236406579541,0.0037933725207398043
0.1-0.2,362,0.03038674033149171,0.14376588392158896,0.11337914359009724,0.033805101201587646,0.003418360870095935,0.04552371346110994,0.01513697312961823,0.05268427795797233,0.022297537626480617,0.04563905956362466,0.015252319232132945,0.05182274777181696,0.02143600744032525
0.2-0.3,244,0.020491803278688523,0.24553712579559106,0.22504532251690254,0.040390796992341896,0.019898993713653373,0.04959956627154693,0.029107762992858405,0.051818240976225526,0.031326437697537,0.0448421008316895,0.024350297553000975,0.051047894678804176,0.030556091400115653
0.3-0.4,198,0.050505050505050504,0.3518885330419348,0.3013834825368843,0.03882771516593652,-0.011677335339113984,0.05359803332923877,0.0030929828241882673,0.06165421076744413,0.011149160262393626,0.053595699376416756,0.0030906488713662514,0.0628262311489457,0.012321180643895195
0.4-0.5,198,0.08080808080808081,0.45076828532748753,0.3699602045194067,0.08618787016365387,0.005379789355573053,0.11011387319616343,0.02930579238808262,0.10895014477296686,0.02814206396488604,0.11509079593268662,0.0342827151246058,0.11117669831095937,0.03036861750287856
0.5-0.6,211,0.10900473933649289,0.5486380237538667,0.4396332844173738,0.10354053914979018,-0.005464200186702711,0.12114924698549831,0.012144507649005418,0.12939865596589017,0.020393916629397282,0.13210823817838513,0.023103498841892237,0.1329111597293852,0.0239064203928923
0.6-0.7,220,0.21818181818181817,0.6512635659087788,0.4330817477269606,0.202619313452069,-0.015562504729749183,0.2352998087803437,0.017117990598525534,0.23936643172108268,0.021184613539264513,0.2521780957398173,0.03399627755799914,0.24679643065264828,0.02861461247083011
0.7-0.8,249,0.26907630522088355,0.7527304057136597,0.48365410049277613,0.2679669314775879,-0.0011093737432956718,0.2920715244687113,0.02299521924782777,0.31588767963301423,0.04681137441213068,0.32811563277507877,0.05903932755419522,0.32228687809662565,0.0532105728757421
0.8-0.9,340,0.28823529411764703,0.8516879805747201,0.563452686457073,0.3126696293641621,0.02443433524651506,0.3352532945941527,0.04701800047650567,0.3602348210107447,0.07199952689309769,0.3855643961454056,0.09732910202775857,0.3705073006082915,0.08227200649064448
0.9-1.0,1249,0.622898318654924,0.9715659716207566,0.3486676529658327,0.6284129202783322,0.005514601623408222,0.6176409839752307,-0.0052573346796932485,0.6575597905236382,0.034661471868714266,0.6656897972281085,0.04279147857318455,0.6662402107648565,0.043341892109932556
