bin,count,true,raw,delta_raw,platt_scaling,delta_platt_scaling,logistic,delta_logistic,mlp,delta_mlp,camembert_mlp,delta_camembert_mlp
0.0-0.1,23070,0.007455570004334634,0.0027029225463136024,-0.004752647458021031,0.00827041528433226,0.0008148452799976265,0.00805259387221697,0.0005970238678823367,0.008889755013150629,0.001434185008815995,0.006471567820705118,-0.0009840021836295164
0.1-0.2,462,0.021645021645021644,0.14503331463058272,0.12338829298556107,0.01762701279041015,-0.004018008854611493,0.016151463605260107,-0.005493558039761537,0.019160722247545458,-0.0024842993974761862,0.024910693736306836,0.003265672091285192
0.2-0.3,321,0.028037383177570093,0.2483017111307364,0.2202643279531663,0.030115451907551095,0.0020780687299810016,0.033336228739711864,0.005298845562141771,0.036670895692772584,0.008633512515202491,0.03223464616792296,0.004197262990352866
0.3-0.4,259,0.02702702702702703,0.35157821871138906,0.32455119168436203,0.0509974264493168,0.02397039942228977,0.0490756492020793,0.022048622175052268,0.05192054231861004,0.024893515291583013,0.03943052085975653,0.012403493832729498
0.4-0.5,267,0.04868913857677903,0.4513844463709142,0.40269530779413515,0.08352863720316786,0.03483949862638883,0.07639829928066688,0.027709160703887854,0.07740110699692884,0.028711968420149815,0.053695640211213785,0.005006501634434758
0.5-0.6,298,0.1040268456375839,0.5515310040256322,0.44750415838804825,0.13434968759001228,0.03032284195242839,0.1316613990920399,0.027634553454455993,0.1395943596057047,0.035567513968120815,0.10567325008881036,0.001646404451226463
0.6-0.7,288,0.1111111111111111,0.6536114263451762,0.5425003152340651,0.2103728343571707,0.09926172324605959,0.1989187327310498,0.08780762161993869,0.20965941823506945,0.09854830712395835,0.13225024243444816,0.021139131323337057
0.7-0.8,341,0.21114369501466276,0.7553767451792518,0.544233050164589,0.3134087630802886,0.10226506806562582,0.30099663723475734,0.08985294222009457,0.3005033222504399,0.08935962723577714,0.2488236692870162,0.03767997427235345
0.8-0.9,499,0.26452905811623245,0.8536632719164143,0.5891342138001818,0.43424523471856613,0.16971617660233368,0.3698306662210868,0.10530160810485434,0.36782692290581165,0.1032978647895792,0.2734231840190082,0.008894125902775774
0.9-1.0,1485,0.6067340067340067,0.9719277318880615,0.3651937251540548,0.5892190897429467,-0.017514916991060003,0.6012227825558811,-0.005511224178125551,0.6006699517710438,-0.006064054962962917,0.6109958399650465,0.004261833231039791
