bin,count,true,raw,delta_raw,platt_scaling,delta_platt_scaling,logistic,delta_logistic
0.0-0.1,17309,0.007683863885839737,0.002918582441676321,-0.004765281444163416,0.008203117469477246,0.0005192535836375098,0.007488995894595746,-0.000194867991243991
0.1-0.2,362,0.03038674033149171,0.14376588392158896,0.11337914359009724,0.01732731964588304,-0.013059420685608673,0.016845227809389213,-0.013541512522102499
0.2-0.3,244,0.020491803278688523,0.24553712579559106,0.22504532251690254,0.02935622770561999,0.008864424426931469,0.029103470077516548,0.008611666798828025
0.3-0.4,198,0.050505050505050504,0.3518885330419348,0.3013834825368843,0.050473510107613286,-3.154039743721859e-05,0.0498584183314058,-0.0006466321736447039
0.4-0.5,198,0.08080808080808081,0.45076828532748753,0.3699602045194067,0.08231721339645096,0.0015091325883701406,0.0952575285248766,0.01444944771679578
0.5-0.6,211,0.10900473933649289,0.5486380237538667,0.4396332844173738,0.13109447543184222,0.022089736095349324,0.1482917094942485,0.039286970157755605
0.6-0.7,220,0.21818181818181817,0.6512635659087788,0.4330817477269606,0.20607833355081537,-0.012103484631002803,0.20800665838153706,-0.010175159800281108
0.7-0.8,249,0.26907630522088355,0.7527304057136597,0.48365410049277613,0.30715843700090184,0.03808213178001829,0.3203226058448731,0.05124630062398955
0.8-0.9,340,0.28823529411764703,0.8516879805747201,0.563452686457073,0.4279499684165942,0.13971467429894718,0.40867103311650527,0.12043573899885823
0.9-1.0,1249,0.622898318654924,0.9715659716207566,0.3486676529658327,0.5848335467808436,-0.038064771874080305,0.5924842509881114,-0.03041406766681254
